Point Count,Time(second),Best score,score_positional_dir_raw,score_positional_dis_raw
7,3.299,--,2.772055357,0.01189043879
11,3.673,--,2.724224411,0.01814387643
22,6.871,20.305222,2.964981582,0.01113928011
62,12.903,22.18714158,2.76035493,0.03259238485
114,32.834,22.19453722,2.8672397,0.03543563717
169,75.427,22.84820031,2.956883984,0.0352939015
356,283.018,22.88867208,2.866783,0.03894880448
668,995.033,22.73848792,2.966972829,0.03872417723
1220,3297.694,22.82312356,2.998207947,0.03340796795
